AUTHOR,TITLE,SCORE
史蒂芬·柯维,高效能人士的七个习惯,9.2
[美] 马歇尔·卢森堡,非暴力沟通,9.2
金庸,鹿鼎记,9.2
戴尔·卡内基,人性的弱点,9.2
"[美] 道格拉斯·斯通,布鲁斯...",高难度谈话,9.2
肖星,一本书读懂财报,9.2
Elliot Aronson,社会性动物,9.2
[捷] 米兰·昆德拉,生命中不能承受之轻,9.2
费孝通,乡土中国,9.2
太宰治,人间失格,9.2
[美] 约翰·威廉斯,斯通纳,9.2
[美] 迈克尔·桑德尔,公正,9.1
冶文彪,清明上河图密码,9.1
（美）科里·帕特森（Kerry...,关键对话,9.1
[美] 斯蒂芬·金,肖申克的救赎,9.1
[法] 阿尔贝·加缪,局外人,9.1
[法国] 安东·德·圣艾修伯里,小王子（中英文对照本）,9.1
WILLARD PRICE,哈尔罗杰历险记(全套共14册),9.1
[巴西]保罗·柯艾略,牧羊少年奇幻之旅,9.1
唐朝,手把手教你读财报,9.1
[德国] 埃·奥·卜劳恩,《父与子》全集,9.1
[古希腊] 柏拉图,理想国,9.1
[美] 比尔·布莱森,万物简史,9.1
[美] R·柯朗 H·罗宾 著...,什么是数学,9.1
"阿维纳什・K・迪克西特,巴里・...",策略思维,9.1
[奥］斯蒂芬・茨威格,昨日的世界,9.2
[以色列] 阿里·沙维特,我的应许之地,9.2
"[美] 路易斯·贾内梯,[瑞典...",认识电影,9.2
金庸,神雕侠侣,9.2
[英] 阿兰·德波顿,旅行的艺术,9.2
冯友兰,中国哲学史,9.2
[美] 大卫·里维斯,铅笔画技法,9.2
王小波,假如你愿意你就恋爱吧,9.1
[英] 阿加莎·克里斯蒂,东方快车谋杀案,9.1
哈耶克,通往奴役之路,9.1
[美]艾瑞里,怪诞行为学,9.1
埃·奥·卜劳恩,父与子全集,9.1
"[美]布鲁克.诺埃尔.摩尔,[...",批判性思维,9.1
Stanley B.Lippm...,C++ Primer 中文版（第 4 版）,9.2
[日] 川端康成,雪国,9.2
"尼可拉斯．羅曼諾夫博士,約翰．...",跑步，該怎麼跑？,9.2
陈丹青,退步集,9.2
[美] 艾·弗洛姆,爱的艺术,9.2
"保罗·威德 (Paul ""Co...",囚徒健身2,9.2
"夏承焘,等",宋词鉴赏辞典,9.2
[瑞典] 弗雷德里克·巴克曼,一个叫欧维的男人决定去死,9.2
（美）亨利·黑兹利特,一课经济学,9.2
刘瑜,观念的水位,9.2
William Shakesp...,莎士比亚全集,9.2
Norman Lewis,Word Power Made Easy,9.2
[日] 铃木敏文,零售的哲学：7-Eleven便利店创始人自述,9.2
"[美] 菲利普·科特勒,[美]...",营销管理,9.1
伯特·多德森,素描的诀窍,9.1
増田奏,住宅設計解剖書,9.1
"海子 著,西川 编",海子诗全集,9.1
[美]威廉·曼彻斯特（Will...,光荣与梦想,9.1
小桥老树,侯卫东官场笔记,9.1
曾国藩,曾国藩家书,9.1
Wes McKinney,利用Python进行数据分析,9.1
美国纽约摄影学院,美国纽约摄影学院摄影教材（上册）,9.1
刘瑜,民主的细节,9.1
胡适,容忍比自由更重要,9.1
茅海建,天朝的崩溃,9.1
范·撒普,通向财务自由之路,9.1
(美)贺兰特•A•凯查杜里安,性学观止（上下册）,9.1
宋美玄,女醫師教你真正愉悅的性愛,9.1
二月河,雍正皇帝（全三册）,9.1
[美] 贝蒂·艾德华,五天学会绘画,9.1
老子,道德经,9.1
（美）迈克尔•刘易斯,大空头,9.1
（德）马克思 著,资本论（全三册）,9.1
德鲁克,管理,9.3
芥川龙之介,罗生门,9.3
《编程之美》小组 编,编程之美,9.3
张爱玲,张爱玲全集 （全16册）,9.3
三毛,撒哈拉的故事,9.3
邹鑫,小强升职记,9.3
[美] 埃里克·莱斯,精益创业,9.3
戴维·迈尔斯 (David M...,社会心理学（第11版，精装彩印）,9.3
[美] 埃里克·霍弗,狂热分子,9.3
吴晓波,腾讯传,9.3
黄仁宇,万历十五年,9.3
黄仁宇,中国大历史,9.3
"R•柯朗,H•罗宾",什么是数学,9.3
[美] 罗伯特·麦基,故事,9.3
史铁生,我与地坛,9.3
[明] 罗贯中,三国演义（全二册）,9.3
木心,木心作品二辑五种,9.3
张爱玲,倾城之恋,9.3
(美)马里奥·普佐,教父,9.3
[美] 劳伦·斯莱特,20世纪最伟大的心理学实验,9.3
玛赞·莎塔碧,我在伊朗长大,9.3
天下霸唱,鬼吹灯之精绝古城,9.3
W.S.毛姆,毛姆读书心得,9.3
安迪．萊利,找死的兔子,9.3
"曹雪芹,吴铭恩 汇校,脂砚斋",红楼梦脂评汇校本,9.3
[美]彼得·考夫曼 (编),穷查理宝典,9.3
南怀瑾,金刚经说什么,9.3
张羽,只有医生知道！2,9.3
塞奇威克 (Robert Se...,算法（第4版）,9.3
〔日本〕近藤麻理惠,怦然心动的人生整理魔法,9.3
金庸,射雕英雄传（全四册）,9.3
马克·柯林斯·詹金斯,美国国家地理125年伟大瞬间,9.3
[美] 特德·姜,你一生的故事,9.3
笑笑生,金瓶梅,9.3
[瑞典] 斯蒂格·拉森,龙文身的女孩,9.3
钱理群,毛泽东时代和后毛泽东时代,9.3
[挪威] 尤·奈斯博,雪人,9.3
唐七公子,华胥引（全二册）,9.3
老舍,四世同堂,9.3
邱国鹭,投资中最简单的事,9.3
Sheryl Sandberg,Lean In,8.3
余华,兄弟,8.3
[美] 戴尔·卡耐基,人性的弱点全集,8.3
黄世忠,财务报表分析,8.3
野夫,乡关何处,8.3
吴军,文明之光（第一册）,8.3
"(日) 宫本一夫,(日) 平势...",讲谈社·中国的历史（十卷本）,8.3
亚历山大•奥斯特瓦德 (Ale...,商业模式新生代,8.3
Project Managem...,项目管理知识体系指南,8.3
安东尼,陪安东尼度过漫长岁月,8.3
[美] 威廉·吉布森,神经漫游者,8.3
施耐庵,金圣叹批评本水浒传,8.3
郑念,上海生死劫,8.3
（美）G·伽莫夫,从一到无穷大,8.3
阿城,阿城精选集,8.3
[美]菲利普·津巴多,路西法效应,8.3
埃克哈特•托利 (Eckhar...,当下的力量（珍藏版）,8.3
JOJO MOYES,Me Before You,8.3
[英] J. K. 罗琳,哈利·波特精装全集（套装全7册）,8.3
"Harold Abelson,...",计算机程序的构造和解释,8.3
吴晓波,《大败局》十周年套装纪念版,8.6
梁文道,我执,8.6
[英] 瑞·蒙克,维特根斯坦传,8.6
盐野七生,罗马人的故事1,8.6
William Zinsser,On Writing Well,8.6
阿城,棋王.樹王.孩子王,8.6
[美] 伍迪·艾伦,门萨的娼妓,8.6
[美]亨廷顿,文明的冲突与世界秩序的重建,8.6
顾随,中国古典诗词感发,8.6
伽莫夫,物理世界奇遇记,8.6
[美]乔治·R. R. 马丁,冰与火之歌·卷四·群鸦的盛宴（全三册）,8.6
[日] 安倍夜郎,深夜食堂 04,8.6
杨小凯,百年中国经济史笔记,8.6
蒋勋,生活十讲,8.6
二月河,康熙大帝（全四册）,8.6
[美] 丹.布朗,达芬奇密码,8.6
"dancyu編輯部,Big c...",深夜食堂料理特輯,8.6
王小波,沉默的大多数,8.6
(意)卡尔维诺,树上的男爵,8.6
南派三叔,老九门短篇集,8.6
肯·威尔伯 Ken Wilbe...,万法简史,8.9
[英] 亚当·斯密,国富论,8.9
刘万祥,Excel图表之道,8.9
[德] 博多·舍费尔,小狗钱钱,8.9
罗素,西方哲学史,8.9
David Nicholls,One Day,8.9
莫言,丰乳肥臀,8.9
唐圭璋 编,全宋词（共5册）,8.9
烽火戏诸侯,陈二狗的妖孽人生,8.9
比尔·布莱森,趣味生活简史,8.9
高阳,红顶商人胡雪岩大全集-全6册-珍藏版,8.9
安·兰德,阿特拉斯耸耸肩（上下）,8.9
沈弘 编译,遗失在西方的中国史（三册）,8.9
(美) 戴维﹒艾伦,尽管去做,8.9
[美] N.格里高利·曼昆,经济学原理,8.9
南怀瑾,老子他说,8.9
[美]马里奥·普佐,教父,8.9
杨显惠,夹边沟记事,8.9
芭芭拉·德米克,我們最幸福,8.9
（意）达·芬奇,达·芬奇笔记,8.9
[英] 毛姆,月亮和六便士,9.2
白先勇,台北人,9.2
丹尼爾‧凱斯,24個比利,9.2
[英] 罗杰·克劳利,1453,9.2
[美] Thomas H.Co...,算法导论（原书第2版）,9.2
王小波,红拂夜奔,9.2
Antoine de Sain...,The Little Prince,9.2
David M.Buss,进化心理学,9.2
李德•哈特 (Basil H....,第二次世界大战战史,9.2
George Orwell,Animal Farm,9.2
"[日] 黑柳彻子 著,岩崎千弘...",窗边的小豆豆,9.2
[美] 卡勒德·胡赛尼,灿烂千阳,9.2
[美] 本·方登,漫长的中场休息,9.2
玛格丽特.米切尔,飘,9.2
（美）L. S. 斯塔夫里阿诺...,全球通史,9.2
[日] 三岛由纪夫,金阁寺,9.2
王国维,人间词话,9.2
[美] 巴巴拉·明托,金字塔原理,9.2
幾米,星空,9.2
[美] 詹姆斯·格雷克,信息简史,9.2
